#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
r,l,t
282.0,58,29.065393
1107.0,99,29.142598
192.0,41,29.203924
201.0,40,29.255319
459.0,70,29.318507
879.0,89,29.392089
27.0,14,29.402981
279.0,55,29.444834
60.0,19,29.459944
243.0,51,29.498953
255.0,55,29.541238
591.0,91,29.610874
468.0,75,29.665715
459.0,93,29.735554
159.0,38,29.763713
90.0,34,29.789205
381.0,60,29.83541
336.0,49,29.872867
456.0,67,29.922578
372.0,53,29.96414
222.0,45,29.998844
81.0,25,30.018114
351.0,51,30.056798
75.0,28,30.076903
78.0,21,30.092063
141.0,32,30.121314
648.0,102,30.1969
456.0,60,30.24017
462.0,69,30.289611
405.0,69,30.338034
144.0,31,30.362653
453.0,71,30.416846
156.0,34,30.443002
483.0,75,30.505501
837.0,80,30.563099
138.0,41,30.59107
654.0,85,30.652806
1134.0,138,30.754045
228.0,59,30.796331
150.0,45,30.827603
156.0,40,30.861294
462.0,72,30.917342
147.0,41,30.947347
528.0,95,31.016644
399.0,73,31.070054
1635.0,186,31.20547
609.0,113,31.289648
93.0,26,31.309672
366.0,46,31.346685
54.0,18,31.35987
429.0,83,31.422635
57.0,26,31.441063
240.0,53,31.48049
246.0,49,31.518252
249.0,53,31.557082
219.0,46,31.591372
180.0,39,31.627081
357.0,74,31.681067
246.0,50,31.718007
153.0,33,31.742758
138.0,35,31.768669
105.0,28,31.789634
909.0,85,31.855065
405.0,78,31.913905
165.0,34,31.939048
402.0,87,32.008574
189.0,41,32.039206
264.0,64,32.086795
234.0,46,32.121466
204.0,38,32.150799
135.0,36,32.177096
156.0,40,32.20751
390.0,63,32.255564
447.0,85,32.318746
216.0,61,32.369553
216.0,42,32.400473
165.0,35,32.426285
180.0,37,32.452426
528.0,74,32.507657
216.0,47,32.545099
156.0,39,32.57345
75.0,27,32.594241
354.0,66,32.642349
282.0,66,32.689611
48.0,16,32.701074
165.0,39,32.729506
225.0,57,32.776453
375.0,49,32.812137
270.0,55,32.85331
183.0,48,32.889564
105.0,34,32.91537
309.0,43,32.948773
333.0,47,32.986666
255.0,53,33.025844
387.0,65,33.073136
252.0,60,33.122984
159.0,34,33.149681
174.0,35,33.176775
429.0,65,33.226022
396.0,67,33.276928
330.0,56,33.319356
315.0,57,33.360776
144.0,33,33.386011
60.0,20,33.401106
168.0,35,33.427114
147.0,36,33.453298
471.0,71,33.514075
195.0,44,33.548347
186.0,41,33.578739
264.0,54,33.619768
588.0,82,33.680163
108.0,33,33.704963
78.0,23,33.723947
387.0,60,33.771401
204.0,48,33.807694
168.0,40,33.837915
81.0,24,33.856412
612.0,82,33.923991
159.0,40,33.954091
450.0,61,34.001681
105.0,32,34.025205
1320.0,142,34.127392
234.0,54,34.167551
180.0,41,34.199313
966.0,87,34.270797
63.0,19,34.286167
84.0,30,34.308864
75.0,20,34.324456
144.0,30,34.347719
402.0,86,34.410011
552.0,77,34.468766
240.0,47,34.507167
186.0,39,34.53679
